N,Q,V
0,0.0513926371242015,3.1872184
0,0.0520871141779243,3.1891875
0,0.0527815906952668,3.1911569
0,0.0534760719075352,3.1930079
0,0.054170559270613,3.1949379
0,0.0548650506830852,3.196907
0,0.0555595441969469,3.1986794
0,0.0562540228046418,3.2006881
0,0.0569485023754544,3.2024209
0,0.0576429796041786,3.2044296
0,0.0583374576428223,3.206202
0,0.0590319515285577,3.2080135
0,0.0597264594010248,3.2098646
0,0.0604209488872189,3.2117157
0,0.0611154375853306,3.2134488
0,0.061809925867903,3.2151423
0,0.0625044095428213,3.2169933
0,0.0631988902846443,3.2185688
0,0.0638933722850037,3.2204592
0,0.0645878526109823,3.222074
0,0.0652823365813362,3.2238069
0,0.0659768164147017,3.2255006
0,0.0666712889375051,3.2271547
0,0.0673657690446134,3.2288876
0,0.0680602491518318,3.2305417
0,0.0687547239728801,3.2321959
0,0.0694491991443635,3.233732
0,0.0701436754317899,3.2353861
0,0.0708381528137293,3.2369616
0,0.071532627930442,3.2386158
0,0.0722271096353065,3.2401516
0,0.0729215876739926,3.2418058
0,0.0736160853463322,3.2434206
0,0.0743106129184978,3.2448385
0,0.0750051369447582,3.2464533
0,0.0756996711049653,3.2479105
0,0.0763941953938125,3.2494466
0,0.0770887196826766,3.2509825
0,0.0777832421983847,3.2525187
0,0.0784777573049334,3.2539759
0,0.0791722828193326,3.2554724
0,0.0798668146816763,3.256969
0,0.0805613341220178,3.2584262
0,0.0812558588923307,3.259923
0,0.0819503888284981,3.2614195
0,0.0826449124279447,3.2627981
0,0.0833394300189379,3.2641764
0,0.0840339461323548,3.2656336
0,0.0847284611623722,3.267091
0,0.0854229857358128,3.2685483
0,0.0861175107692549,3.2698479
0,0.0868120448969354,3.2712657
0,0.0875065827895695,3.2725654
0,0.0882011219517772,3.2740226
0,0.088895666222229,3.2754011
0,0.0895902328523933,3.2767403
0,0.0902848056364187,3.2780399
0,0.0909793752906037,3.2794578
0,0.0916739439815437,3.2807574
0,0.0923685012572395,3.2820966
0,0.0930630658655718,3.2834356
0,0.093757633888287,3.2847354
0,0.0944522002586704,3.2860744
0,0.0951467673846097,3.2873347
0,0.0958413344445292,3.2886739
0,0.0965359010995568,3.2898948
0,0.0972304680502489,3.2911944
0,0.097925037375785,3.2925336
0,0.0986196031878154,3.2936757
0,0.0993141644361538,3.2949755
0,0.100008726746139,3.2962751
0,0.100703297680757,3.2974567
0,0.101397870837131,3.2987564
0,0.102092438050249,3.2998986
0,0.102787013176244,3.3011589
0,0.103481577292201,3.3023798
0,0.104176139744441,3.3036401
0,0.104870708851276,3.3049397
0,0.105565270898853,3.3060031
0,0.10625984175666,3.307224
0,0.106954417561654,3.308327
0,0.107648980101318,3.3096266
0,0.108343546154336,3.3108082
0,0.109038111430622,3.3119109
0,0.109732685145094,3.3131318
0,0.110427261191245,3.3142347
0,0.111121822253842,3.3154161
0,0.111816376892098,3.3165977
0,0.112510940351461,3.3177006
0,0.113205514076623,3.318882
0,0.113900075719418,3.3199849
0,0.11459464026246,3.3210483
0,0.115289194309658,3.3222299
0,0.115983748148736,3.3234901
0,0.11667830498653,3.3245142
0,0.117372869858136,3.3256562
0,0.118067431894607,3.3266015
0,0.118762000114933,3.3277831
0,0.119456558933639,3.3289251
0,0.120151113560613,3.3300281
0,0.12084567867274,3.3310521
0,0.121540247702323,3.3321941
0,0.122234817597003,3.3332574
0,0.122929388279682,3.3342814
0,0.123623952198732,3.3353055
0,0.124318503553068,3.336369
0,0.12501306306132,3.3374324
0,0.125707616933263,3.3383775
0,0.126402169852744,3.3394804
0,0.127096729503267,3.3405437
0,0.127791291835522,3.3416071
0,0.1284858628135,3.34271
0,0.129180436254154,3.3436158
0,0.129875014094959,3.3446004
0,0.130569587119725,3.3455851
0,0.131264153139903,3.3465695
0,0.131958706727312,3.3477118
0,0.132653274060855,3.3486965
0,0.133347833536224,3.3497598
0,0.134042393121219,3.3506262
0,0.134736952760722,3.3517292
0,0.135431515869683,3.3525167
0,0.136126089507404,3.3535407
0,0.136820659095747,3.3544466
0,0.137515230117603,3.3555887
0,0.138209784624269,3.3564947
0,0.138904311813227,3.3574004
0,0.139598847889099,3.3583851
0,0.140293392414051,3.3594091
0,0.140987931576089,3.3602755
0,0.141682463329035,3.3612602
0,0.142376977538045,3.3622055
0,0.143071485180783,3.3631113
0,0.143766012074102,3.3640172
0,0.144460543564614,3.3649623
0,0.145155056143053,3.3658683
0,0.145849555161548,3.3668528
0,0.146544077360179,3.3677981
0,0.147238599262983,3.3686252
0,0.147933088059794,3.3694916
0,0.148627612042134,3.3704762
0,0.149322148533885,3.3713033
0,0.150016685660299,3.372406
0,0.150711220368161,3.3732333
0,0.151405722057198,3.3740997
0,0.152100239856135,3.3749268
0,0.152794758815104,3.3757539
0,0.153489292702052,3.3767385
0,0.154183826720437,3.3776443
0,0.154878339616241,3.3784714
0,0.155572859768134,3.3793378
0,0.15626738146308,3.3802438
0,0.156961907721905,3.3811102
0,0.157656431846746,3.3819373
0,0.158350958280682,3.382843
0,0.159045487472551,3.3837097
0,0.159740015012054,3.3845761
0,0.160434544324247,3.3853638
