N,t,Q,V,E,T
328,29920.0014211237,2.07833721712085,3.765691,191.9,25.964781
328,29930.0014215987,2.07903184614249,3.7658486,191.9,25.830811
328,29940.0014220737,2.07972647145418,3.7659669,191.9,25.956902
328,29950.0014225487,2.08042109447855,3.7661638,191.9,25.94902
328,29960.0014230236,2.08111572024993,3.7661638,191.9,25.854452
328,29970.0014234986,2.08181035422919,3.7662818,191.9,25.815048
328,29980.0014239736,2.08250498995956,3.7663608,191.9,25.870213
328,29990.0014244486,2.08319962519741,3.7665181,191.9,25.885975
328,30000.0014249235,2.0838942579619,3.7665181,191.9,25.980543
328,30010.0014253985,2.08458889002599,3.7666364,191.9,25.854452
328,30020.0014258735,2.08528352228705,3.7668726,191.9,26.004185
328,30030.0014263485,2.08597815105699,3.7668726,191.9,25.941139
328,30040.0014268234,2.08667278024286,3.7670302,191.9,25.83869
328,30050.0014272984,2.08736741049025,3.7671878,192,25.807169
328,30060.0014277734,2.08806204301402,3.7671878,192,25.815048
328,30070.0014282484,2.08875667480453,3.7672272,192,25.807169
328,30080.0014287233,2.08945129947055,3.7674634,192,25.972664
328,30090.0014291983,2.09014592762763,3.7675424,192,25.712599
328,30100.0014296733,2.09084055354122,3.767621,192,25.69684
328,30110.0014301483,2.09153517833855,3.767818,192,25.807169
328,30120.0014306232,2.09222980647378,3.7678969,192,25.933258
328,30130.0014310982,2.09292442957478,3.7678969,192,25.783525
328,30140.0014315732,2.09361905325581,3.7680938,192,25.862331
328,30150.0014320482,2.09431367716672,3.7681725,192,25.878096
328,30160.0014325231,2.09500830561932,3.7683301,192,25.846573
328,30170.0014329981,2.09570293248505,3.7685664,192.1,25.941139
328,30180.0014334731,2.09639756948487,3.7685664,192.1,26.059349
328,30190.0014339481,2.097092196274,3.7687633,192.1,26.012066
328,30200.001434423,2.09778682583191,3.7687633,192.1,25.767763
328,30210.001434898,2.09848146335701,3.7688026,192.1,25.941139
328,30220.001435373,2.09917609596834,3.7690389,192.1,25.885975
328,30230.001435848,2.09987072141133,3.7691178,192.1,25.815048
328,30240.0014363229,2.10056535243579,3.7691965,192.1,25.736242
328,30250.0014367979,2.10125998455464,3.7691572,192.1,25.799288
328,30260.0014372729,2.10195460994294,3.7693934,192.1,25.799288
328,30270.0014377478,2.10264923353643,3.7695117,192.2,25.870213
328,30280.0014382228,2.10334385517096,3.7696693,192.2,25.964781
328,30290.0014386978,2.1040384730955,3.7697873,192.2,25.909616
328,30300.0014391728,2.10473310030053,3.7698662,192.2,25.972664
328,30310.0014396477,2.1054277254262,3.7699842,192.2,25.712599
