N,t,Q,I,V,E,T
380,28380.0013479777,1.97255675532757,250.18555,3.8326705,336.4,27.292486
380,28390.0013484526,1.97325180355625,250.28407,3.832828,336.4,27.506363
380,28400.0013489276,1.9739468592504,250.24467,3.833025,336.4,27.173668
380,28410.0013494026,1.97464191175908,250.16585,3.8331037,336.4,27.340015
380,28420.0013498776,1.97533696365467,250.20528,3.8333795,336.4,27.3717
380,28430.0013503525,1.97603202084875,250.28407,3.8335371,336.4,27.324171
380,28440.0013508275,1.97672707829375,250.20528,3.8335764,336.4,27.3717
380,28450.0013513025,1.97742213566284,250.26437,3.833931,336.4,27.363779
380,28460.0013517775,1.9781171946845,250.20528,3.834049,336.4,27.308329
380,28470.0013522524,1.9788122451352,250.18555,3.8342459,336.4,27.205353
380,28480.0013527274,1.97950729833365,250.22498,3.8344035,336.5,27.340015
380,28490.0013532024,1.98020235569159,250.24467,3.8344822,336.5,27.450912
380,28500.0013536774,1.98089741303886,250.22498,3.8346398,336.5,27.221195
380,28510.0013541523,1.98159247104186,250.20528,3.8349156,336.5,27.411308
380,28520.0013546273,1.98228752849862,250.14615,3.8349943,336.5,27.41923
380,28530.0013551023,1.9829825903232,250.22498,3.8352699,336.5,27.276644
380,28540.0013555773,1.9836776573576,250.20528,3.8354669,336.5,27.213274
380,28550.0013560522,1.98437272090009,250.24467,3.8356638,336.5,27.221195
380,28560.0013565272,1.98506779010255,250.24467,3.8358214,336.5,27.403387
380,28570.0013570022,1.98576285009871,250.26437,3.8358607,336.5,27.435072
380,28580.0013574772,1.98645791244885,250.22498,3.835979,336.5,27.347937
380,28590.0013579521,1.98715297256583,250.22498,3.8361759,336.6,27.411308
380,28600.0013584271,1.98784803584555,250.24467,3.8364515,336.6,27.126139
380,28610.0013589021,1.98854309426505,250.20528,3.836688,336.6,27.324171
380,28620.0013593771,1.98923815188556,250.16585,3.8366485,336.6,27.197432
380,28630.001359852,1.98993320924352,250.22498,3.837003,336.6,27.332094
380,28640.001360327,1.99062826547317,250.24467,3.8370423,336.6,27.197432
380,28650.001360802,1.99132332956324,250.20528,3.8372393,336.6,27.221195
380,28660.001361277,1.99201839040212,250.24467,3.8373969,336.6,27.205353
380,28670.0013617519,1.99271344767253,250.12645,3.8375938,336.6,27.229118
380,28680.0013622269,1.99340850874184,250.28407,3.8377907,336.7,27.23704
380,28690.0013627019,1.994103571321,250.12645,3.8379483,336.7,27.284565
380,28700.0013631768,1.99479863548779,250.22498,3.8381059,336.7,27.363779
380,28710.0013636518,1.99549370287282,250.22498,3.8382633,336.7,27.213274
380,28720.0013641268,1.99618876387552,250.24467,3.8384209,336.7,27.347937
380,28730.0013646018,1.99688382575436,250.26437,3.8386178,336.7,27.284565
380,28740.0013650768,1.99757888803857,250.26437,3.8387361,336.7,27.340015
380,28750.0013655517,1.99827395057374,250.26437,3.838933,336.7,27.260799
380,28760.0013660267,1.99896901019821,250.16585,3.8390906,336.7,27.340015
380,28770.0013665017,1.99966406339656,250.24467,3.8392875,336.7,27.324171
380,28780.0013669766,2.00035911773314,250.18555,3.8394449,336.7,27.23704
380,28790.0013674516,2.00105416994649,250.16585,3.8396418,336.7,27.466755
380,28800.0013679266,2.00174922367038,250.20528,3.8397994,336.7,27.363779
380,28810.0013684016,2.00244427390214,250.20528,3.8399963,336.8,27.3717
380,28820.0013688766,2.00313931510241,250.22498,3.8401539,336.8,27.252882
380,28830.0013693515,2.0038343646116,250.20528,3.8403509,336.8,27.284565
380,28840.0013698265,2.0045294162116,250.28407,3.8405871,336.8,27.300407
380,28850.0013703015,2.00522447210242,250.32347,3.8406661,336.8,27.450912
380,28860.0013707764,2.00591952851876,250.20528,3.8409417,336.8,27.332094
380,28870.0013712514,2.00661458073156,250.26437,3.8410599,336.8,27.244961
380,28880.0013717264,2.00730962840152,250.24467,3.8412962,336.8,27.522205
380,28890.0013722014,2.00800467495546,250.14615,3.8414142,336.8,27.340015
380,28900.0013726763,2.00869972104912,250.12645,3.8416111,336.8,27.118217
380,28910.0013731513,2.0093947701422,250.16585,3.8417687,336.9,27.221195
380,28920.0013736263,2.0100898215672,250.24467,3.841887,336.9,27.482597
380,28930.0013741013,2.01078487150389,250.22498,3.8420446,336.9,27.165747
380,28940.0013745762,2.0114799210566,250.22498,3.8420839,336.9,27.442993
380,28950.0013750512,2.01217497383863,250.22498,3.8424385,336.9,27.340015
380,28960.0013755262,2.01287002733244,250.22498,3.8427141,336.9,27.545969
380,28970.0013760012,2.01356507918419,250.20528,3.8427534,336.9,27.252882
380,28980.0013764761,2.01426012696313,250.16585,3.8429897,336.9,27.347937
380,28990.0013769511,2.01495517539931,250.24467,3.8431866,336.9,27.355858
380,29000.0013774261,2.01565022647355,250.20528,3.8433442,337,27.363779
380,29010.0013779011,2.01634527614671,250.20528,3.8435018,337,27.340015
380,29020.001378376,2.017040324397,250.10675,3.8436201,337,27.324171
380,29030.001378851,2.01773537386303,250.16585,3.8436987,337,27.403387
380,29040.001379326,2.01843043429661,250.28407,3.8440533,337,27.205353
380,29050.001379801,2.01912549594527,250.24467,3.8441319,337,27.308329
380,29060.0013802759,2.01982055636906,250.16585,3.8442109,337,27.363779
380,29070.0013807509,2.0205156243347,250.20528,3.8445258,337,27.3717
380,29080.0013812259,2.02121068677138,250.26437,3.8446047,337,27.292486
380,29090.0013817009,2.02190575000706,250.28407,3.8448803,337,27.31625
380,29100.0013821758,2.02260081182003,250.12645,3.8451166,337,27.442993
380,29110.0013826508,2.02329587276774,250.20528,3.8451955,337.1,27.23704
380,29120.0013831258,2.02399093146083,250.20528,3.8453529,337.1,27.157824
380,29130.0013836008,2.02468599457676,250.14615,3.8454318,337.1,27.244961
380,29140.0013840757,2.02538105872099,250.20528,3.8455894,337.1,27.284565
380,29150.0013845507,2.02607612451841,250.10675,3.8457863,337.1,27.387543
