Time (s),Voltage (V),Current (A),Cell Temperature,Thermocouple_2,Force,Current Shunt,CO2 from CAN (ppm),Humidity,Pressure,Status 1 ,Gas Temperature,Status 2,Thermal Conductivity
21.591,4.16556695,0,22.57901764,23.49409406,10.53240105,-0.864836599,504,32,100,0,21.875,0,1.133
21.691,4.165646685,0,22.56912378,23.46444579,10.55829463,-0.78514009,504,32,100,0,21.875,0,1.133
21.791,4.165606817,0,22.55922983,23.47432864,10.54534784,-0.892730377,504,32,100,0,21.875,0,1.133
21.891,4.165487214,0,22.57901764,23.50397664,10.55505794,-0.856866948,504,32,100,0,21.875,0,1.132
21.991,4.165606817,0,22.54933579,23.47432864,10.56476803,-0.797094566,504,32,100,0,21.875,0,1.132
22.091,4.165646685,0,22.56912378,23.52374153,10.50974417,-0.844912472,504,32,100,0,21.875,0,1.132
22.191,4.165606817,0,22.56912378,23.49409406,10.55182124,-0.821003519,504,32,100,0,21.875,0,1.132
22.291,4.165606817,0,22.58891142,23.47432864,10.56476803,-0.832957995,504,32,100,0,21.875,0,1.132
22.391,4.165606817,0,22.56912378,23.47432864,10.54534784,-0.74927666,504,32,100,0,21.875,0,1.132
22.491,4.165606817,0,22.56912378,23.47432864,10.59713501,-0.960472411,504,32,100,0,21.875,0,1.132
22.591,4.165606817,0,22.54933579,23.45456286,10.49032398,-0.817018693,504,32,100,0,21.875,0,1.132
22.691,4.165606817,0,22.54933579,23.49409406,10.53887445,-0.789124915,505,32,100,0,21.875,0,1.132
22.791,4.165686553,0,22.55922983,23.49409406,10.56476803,-0.844912472,505,32,100,0,21.875,0,1.132
22.891,4.165606817,0,22.59880511,23.47432864,10.53240105,-0.912654505,505,32,100,0,21.875,0,1.132
22.991,4.165606817,0,22.55922983,23.46444579,10.57447812,-0.809049042,505,32,100,0,21.875,0,1.132
23.091,4.165646685,0,22.56912378,23.49409406,10.56800473,-0.860851774,505,32,100,0,21.875,0,1.132
23.191,4.165646685,0,22.55922983,23.45456286,10.52916435,-0.805064217,505,32,100,0,21.875,0,1.132
23.291,4.165646685,0,22.55922983,23.46444579,10.55829463,-0.777170439,505,32,100,0,21.875,0,1.132
23.391,4.165606817,0,22.57901764,23.44467984,10.52592766,-0.844912472,505,32,100,0,21.875,0,1.132
23.491,4.16556695,0,22.54933579,23.48421139,10.53240105,-0.821003519,505,32,100,0,21.875,0,1.132
23.591,4.16556695,0,22.57901764,23.49409406,10.58095152,-0.741307009,505,32,100,0,21.875,0,1.133
23.691,4.165686553,0,22.55922983,23.46444579,10.58742492,-0.844912472,505,32,100,0,21.875,0,1.133
23.791,4.16556695,0,22.56912378,23.47432864,10.54534784,-0.836942821,506,32,100,0,21.875,0,1.133
23.891,4.165606817,0,22.58891142,23.48421139,10.55829463,-0.753261486,506,32,100,0,21.875,0,1.133
23.991,4.165606817,0,22.60869872,23.48421139,10.56153133,-0.793109741,506,32,100,0,21.875,0,1.133
24.091,4.165606817,0,22.58891142,23.47432864,10.57124143,-0.821003519,506,32,100,0,21.875,0,1.133
24.191,4.16556695,0,22.54933579,23.47432864,10.50650747,-0.888745552,506,32,100,0,21.875,0,1.133
24.291,4.165606817,0,22.58891142,23.47432864,10.58742492,-0.797094566,506,32,100,0,21.875,0,1.133
24.391,4.165606817,0,22.54933579,23.47432864,10.51298086,-0.817018693,506,32,100,0,21.875,0,1.133
24.491,4.165646685,0,22.56912378,23.45456286,10.53563775,-0.860851774,506,32,100,0,21.875,0,1.133
24.591,4.165606817,0,22.54933579,23.46444579,10.54858454,-0.848897297,506,32,100,0,21.875,0,1.133
24.691,4.165646685,0,22.56912378,23.48421139,10.52269096,-0.840927646,506,32,100,0,21.875,0,1.133
24.791,4.16556695,0,22.57901764,23.44467984,10.51298086,-0.797094566,506,32,100,0,21.875,0,1.133
24.891,4.165646685,0,22.54933579,23.48421139,10.53563775,-0.817018693,507,32,100,0,21.875,0,1.133
